id,name,price,address,image_url,product_url
50,Chaton,350000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344588_uploaded_image1_1748177635.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-5344588
52,Chatons,200000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5330509_uploaded_image1_1747360436.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chatons-5330509
53,Perroquet Rose Gorge,50000.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5329928_uploaded_image1_1747330648.jpg,https://sn.coinafrique.com/annonce/autres-animaux/perroquet-rose-gorge-5329928
55,Boeuf,350000.0,"Bambey, Sénégal",https://images.coinafrique.com/thumb_5317378_uploaded_image1_1746698849.jpg,https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5317378
56,Chèvre race ndama,350000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5315130_uploaded_image1_1746566615.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chevre-race-ndama-5315130
57,Vaches,325.0,"Bambey, Sénégal",https://images.coinafrique.com/thumb_5308237_uploaded_image1_1746189283.jpg,https://sn.coinafrique.com/annonce/autres-animaux/vaches-5308237
58,Canards,7000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_5300877_uploaded_image1_1745779858.jpg,https://sn.coinafrique.com/annonce/autres-animaux/canards-5300877
60,Chat Persan,450000.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5297087_uploaded_image1_1745527617.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-5297087
61,Couple pintades adultes,35000.0,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5295025_uploaded_image1_1745431940.jpg,https://sn.coinafrique.com/annonce/autres-animaux/couple-pintades-adultes-5295025
62,Chaton,375000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_5278827_uploaded_image1_1744477884.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-5278827
63,Chatons Siamois,150000.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5275205_uploaded_image1_1744282516.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chatons-siamois-5275205
64,Vaches Montbéliarde,900.0,"Bambey, Sénégal",https://images.coinafrique.com/thumb_5262041_uploaded_image1_1743610261.jpg,https://sn.coinafrique.com/annonce/autres-animaux/vaches-montbeliarde-5262041
65,Perroquets,60000.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5237101_uploaded_image1_1742244549.jpg,https://sn.coinafrique.com/annonce/autres-animaux/perroquets-5237101
